IPR000092|A0A010PIY8	IPR000092|A0A010PIY8
IPR000079|A0A087YDN5	IPR000079|A0A087YDN5
IPR000079|A0A091D7R3	IPR000079|A0A091D7R3
IPR000079|A0A091DFG2	IPR000079|A0A091DFG2
IPR000079|A0A091DIE9	IPR000079|A0A091DIE9
IPR000079|A0A091DIE9	IPR000079|A0A091DGL3
IPR000079|A0A091DNZ3	IPR000079|A0A091DNZ3
IPR000079|A0A091DP24	IPR000079|A0A091DP24
IPR000105|A0A060W9S7	IPR000105|A0A060W9S7
IPR000105|A0A060W9S7	IPR000105|A0A091I710
IPR000105|A0A060W9S7	IPR000105|A0A087R660
IPR000105|A0A060W9S7	IPR000105|A0A087VHD8
IPR000105|A0A060W9S7	IPR000105|A0A091F0S6
IPR000105|A0A060W9S7	IPR000105|A0A091FNQ6
IPR000105|A0A060W9S7	IPR000105|A0A091GZH3
IPR000105|A0A060W9S7	IPR000105|A0A091KZB5
IPR000105|A0A060W9S7	IPR000105|A0A091KZG9
IPR000105|A0A060W9S7	IPR000105|A0A091L2G3
IPR000105|A0A060W9S7	IPR000105|A0A091MIZ8
IPR000105|A0A060W9S7	IPR000105|A0A091N472
IPR000105|A0A060W9S7	IPR000105|A0A091Q1R9
IPR000105|A0A060W9S7	IPR000105|A0A091QG77
IPR000105|A0A060W9S7	IPR000105|A0A091QR46
IPR000105|A0A060W9S7	IPR000105|A0A091QX21
IPR000105|A0A060W9S7	IPR000105|A0A091S107
IPR000105|A0A060W9S7	IPR000105|A0A091SQV4
IPR000105|A0A060W9S7	IPR000105|A0A091TNC1
IPR000105|A0A060W9S7	IPR000105|A0A091URH2
IPR000105|A0A060W9S7	IPR000105|A0A091WAX2
IPR000105|A0A060W9S7	IPR000105|A0A093CAB6
IPR000105|A0A060W9S7	IPR000105|A0A093D3I1
IPR000105|A0A060W9S7	IPR000105|A0A093FVS4
IPR000105|A0A060W9S7	IPR000105|A0A093IJQ1
IPR000105|A0A061IHL9	IPR000105|A0A061IHL9
IPR000105|A0A061IHL9	IPR000105|A0A061IIN4
IPR000105|A0A061IHL9	IPR000105|A0A061IKP3
IPR000105|A0A061IHL9	IPR000105|A0A091DJQ4
IPR000105|A0A089PQW6	IPR000105|A0A089PQW6
IPR000109|A0A009G745	IPR000109|A0A009G745
IPR000109|A0A009G745	IPR000109|A0A009HW81
IPR000109|A0A009G745	IPR000109|A0A009I6X7
IPR000109|A0A009G745	IPR000109|A0A009KS92
IPR000109|A0A009G745	IPR000109|A0A009ND14
IPR000109|A0A009G745	IPR000109|A0A009QG09
IPR000109|A0A009G745	IPR000109|A0A009RA82
IPR000109|A0A009G745	IPR000109|A0A009SDB4
IPR000109|A0A009G745	IPR000109|A0A010IX77
IPR000109|A0A009G745	IPR000109|A0A013SXI0
IPR000109|A0A009G745	IPR000109|A0A013T8H0
IPR000109|A0A009G745	IPR000109|A0A013U3I5
IPR000109|A0A009G745	IPR000109|A0A014CQ75
IPR000109|A0A009G745	IPR000109|A0A014CTB0
IPR000109|A0A009G745	IPR000109|A0A014DZB2
IPR000109|A0A009G745	IPR000109|A0A014E3M7
IPR000109|A0A009G745	IPR000109|A0A014E575
IPR000109|A0A009G745	IPR000109|A0A014E6K8
IPR000109|A0A009G745	IPR000109|A0A014E8C9
IPR000109|A0A009G745	IPR000109|A0A014ERM1
IPR000109|A0A010Q185	IPR000109|A0A010Q185
IPR000109|A0A010QET6	IPR000109|A0A010QET6
IPR000109|A0A010QL69	IPR000109|A0A010QL69
IPR000109|A0A010R871	IPR000109|A0A010R871
IPR000109|A0A010R871	IPR000109|A0A014N9H9
IPR000109|A0A010SKV2	IPR000109|A0A010SKV2
IPR000109|A0A014DDH5	IPR000109|A0A014DDH5
IPR000109|A0A014MTC3	IPR000109|A0A014MTC3
IPR000109|A0A014MXV0	IPR000109|A0A014MXV0
IPR000109|A0A014NQ40	IPR000109|A0A014NQ40
IPR000110|A0A011MHB9	IPR000110|A0A011MHB9
IPR000110|A0A011MHB9	IPR000110|A0A014M6Q3
IPR000110|A0A011MHB9	IPR000110|A0A009LIP5
IPR000110|A0A011MHB9	IPR000110|A0A009F1K8
IPR000110|A0A011MHB9	IPR000110|A0A009HC93
IPR000110|A0A011MHB9	IPR000110|A0A009I437
IPR000110|A0A011MHB9	IPR000110|A0A009I8A6
IPR000110|A0A011MHB9	IPR000110|A0A009N756
IPR000110|A0A011MHB9	IPR000110|A0A009QEQ4
IPR000110|A0A011MHB9	IPR000110|A0A009QXD6
IPR000110|A0A011MHB9	IPR000110|A0A009TDI1
IPR000110|A0A011MHB9	IPR000110|A0A009YTR1
IPR000110|A0A011MHB9	IPR000110|A0A010J2K5
IPR000110|A0A011MHB9	IPR000110|A0A010S4F2
IPR000110|A0A011MHB9	IPR000110|A0A013TC13
IPR000110|A0A011MHB9	IPR000110|A0A014B7A5
IPR000110|A0A011MHB9	IPR000110|A0A014C5N4
IPR000110|A0A011MHB9	IPR000110|A0A014C6L2
IPR000110|A0A011MHB9	IPR000110|A0A014C9L4
IPR000110|A0A011MHB9	IPR000110|A0A014CF61
IPR000110|A0A011MHB9	IPR000110|A0A014DUR8
IPR000110|A0A011MHB9	IPR000110|A0A014DVU4
IPR000110|A0A011MHB9	IPR000110|A0A014FFP2
IPR000110|A0A011PZW2	IPR000110|A0A011PZW2
IPR000110|A0A011PZW2	IPR000110|A0A011MR81
IPR000110|A0A011PZW2	IPR000110|A0A011P2R1
IPR000110|A0A011PZW2	IPR000110|A0A014MAU9
IPR000110|A0A011UTI2	IPR000110|A0A011UTI2
IPR000110|A0A011UTI2	IPR000110|A0A011VGP4
IPR000110|A0A011UTI2	IPR000110|A0A013XV92
IPR000112|A0A2F0B119	IPR000112|A0A2F0B119
IPR000112|A0A2F0B119	IPR000112|A0A2K5YGT6
IPR000112|A0A2F0B119	IPR000144|A0A093GR66
IPR000112|A0A2F0B119	IPR000144|A0A091N8H6
IPR000112|A0A2F0B119	IPR000144|A0A1S3AA76
IPR000112|A0A2I3RC15	IPR000112|A0A2I3RC15
IPR000112|A0A2I3RC15	IPR000112|A0A1U7QPR8
IPR000112|A0A2I3RC15	IPR000112|A0A061I1G0
IPR000112|A0A2I3RC15	IPR000162|A0A061I1G0
IPR000112|A0A2I3RC15	IPR000112|A0A1S3GDL1
IPR000112|A0A2I3RC15	IPR000112|A0A061I3J7
IPR000112|A0A2I3RC15	IPR000112|A0A2U3WTW2
IPR000112|A0A2I3RC15	IPR000112|A0A0D9R815
IPR000112|A0A2I3RC15	IPR000112|A0A1A6HQB0
IPR000112|A0A2I3RC15	IPR000112|A0A212D218
IPR000112|A0A2I3RC15	IPR000112|A0A2J8JTS5
IPR000112|A0A2I3RC15	IPR000112|A0A2K5E588
IPR000112|A0A2I3RC15	IPR000112|A0A2K5HSI9
IPR000112|A0A2I3RC15	IPR000112|A0A2K5NPM2
IPR000112|A0A2I3RC15	IPR000112|A0A2K5NPS9
IPR000112|A0A2I3RC15	IPR000112|A0A2K5NQ89
IPR000112|A0A2I3RC15	IPR000112|A0A2K5QXW3
IPR000112|A0A2I3RC15	IPR000112|A0A2K5YGR3
IPR000112|A0A2I3RC15	IPR000112|A0A2K6E5H3
IPR000112|A0A2I3RC15	IPR000112|A0A2K6E5H8
IPR000112|A0A2I3RC15	IPR000112|A0A2K6RLG8
IPR000112|A0A2I3RC15	IPR000112|A0A2R8M3G8
IPR000112|A0A2I3RC15	IPR000112|A0A2Y9HA34
IPR000112|A0A2I3RC15	IPR000112|A0A2Y9L665
IPR000112|A0A2I3RC15	IPR000112|A0A2K6KHW9
IPR000112|A0A2I3RC15	IPR000112|A0A2K6T9A6
IPR000112|A0A2I3RC15	IPR000112|A0A096NER9
IPR000112|A0A2I3RC15	IPR000112|A0A2K5U0Z8
IPR000112|A0A2I3RC15	IPR000112|A0A2K6EWT9
IPR000112|A0A2I3RC15	IPR000144|A0A0D9RCW9
IPR000112|A0A2I3RC15	IPR000144|A0A091FAI9
IPR000112|A0A2I3RC15	IPR000144|A0A091GFG1
IPR000112|A0A2I3RC15	IPR000144|A0A091IKN4
IPR000112|A0A2I3RC15	IPR000144|A0A091N731
IPR000112|A0A2I3RC15	IPR000144|A0A091UZ05
IPR000112|A0A2I3RC15	IPR000144|A0A091W8J5
IPR000112|A0A2I3RC15	IPR000144|A0A093I7K9
IPR000112|A0A2I3RC15	IPR000144|A0A093PEW5
IPR000112|A0A2I3RC15	IPR000144|A0A093Q2L9
IPR000112|A0A2I3RC15	IPR000144|A0A0A0AGK9
IPR000112|A0A2I3RC15	IPR000144|A0A0Q3P500
IPR000112|A0A2I3RC15	IPR000144|A0A1D5PGF4
IPR000112|A0A2I3RC15	IPR000144|A0A1S3FFX4
IPR000112|A0A2I3RC15	IPR000144|A0A1S3FGG5
IPR000112|A0A2I3RC15	IPR000144|A0A1U7S139
IPR000112|A0A2I3RC15	IPR000144|A0A091J6G3
IPR000112|A0A2I3RC15	IPR000144|A0A1S3FHK6
IPR000112|A0A2I3RC15	IPR000162|A0A060X1E8
IPR000221|A0A067KV64	IPR000221|A0A067KV64
IPR000221|A0A067KV64	IPR000221|A0A1S2YQF6
IPR000221|A0A067KV64	IPR000221|A0A1S3AXW0
IPR000221|A0A067KV64	IPR000221|A0A2I4G9K3
IPR000221|A0A067KV64	IPR000221|A0A2I4F2Z1
IPR000221|A0A0L0H881	IPR000221|A0A0L0H881
IPR000221|A0A0V1BZ60	IPR000221|A0A0V1BZ60
IPR000221|A0A193KZW0	IPR000221|A0A193KZW0
IPR000221|A0A1D1VDP4	IPR000221|A0A1D1VDP4
IPR000221|A0A2I3GMT3	IPR000221|A0A2I3GMT3
IPR000221|A0A2I3RG75	IPR000221|A0A2I3RG75
IPR000221|A0A2K6TB39	IPR000221|A0A2K6TB39
IPR000221|A0A2K6TB39	IPR000221|A0A2K5CXY9
IPR000221|A0A2K6TB39	IPR000221|A0A2K5R6E5
IPR000221|A0A2K6TB39	IPR000221|A0A096MLL5
IPR000221|A0A2K6TB39	IPR000221|A0A0D9R7P5
IPR000221|A0A2K6TB39	IPR000221|A0A2K5I3S6
IPR000221|A0A2K6TB39	IPR000221|A0A2K5LCN6
IPR000221|A0A2K6TB39	IPR000221|A0A2K5ZQV8
IPR000221|A0A2K6TB39	IPR000221|A0A2K6DMS0
IPR000221|A0A2K6TB39	IPR000221|A0A2K6LMP4
IPR000221|A0A2K6TB39	IPR000221|A0A2K6PXN1
IPR000221|A0A2K6TB39	IPR000221|A0A0M4LXH7
IPR000221|A0A2K6TB39	IPR000221|A0A068B2A1
IPR000221|A0A2K6TB39	IPR000221|A0A2J8L9Y2
IPR000221|A0A2N9EGZ9	IPR000221|A0A2N9EGZ9
IPR000221|A0A2N9F728	IPR000221|A0A2N9F728
IPR000221|A0A2N9FSD5	IPR000221|A0A2N9FSD5
IPR000221|A0A2N9HIC7	IPR000221|A0A2N9HIC7
IPR000221|A0A2N9HIC7	IPR000221|A0A2N9H7R8
IPR000223|A0A009GQT9	IPR000223|A0A009GQT9
IPR000223|A0A009GQT9	IPR000223|A0A009ESA7
IPR000223|A0A009GQT9	IPR000223|A0A009HET9
IPR000223|A0A009GQT9	IPR000223|A0A009HMH5
IPR000223|A0A009GQT9	IPR000223|A0A009N3A0
IPR000223|A0A009GQT9	IPR000223|A0A009QK07
IPR000223|A0A009GQT9	IPR000223|A0A009QNX2
IPR000223|A0A009GQT9	IPR000223|A0A009SDZ5
IPR000223|A0A009GQT9	IPR000223|A0A009YKD7
IPR000223|A0A009GQT9	IPR000223|A0A010K5L5
IPR000223|A0A009GQT9	IPR000223|A0A009LV17
IPR000223|A0A010NL43	IPR000223|A0A010NL43
IPR000223|A0A010Q8M3	IPR000223|A0A010Q8M3
IPR000223|A0A010QF96	IPR000223|A0A010QF96
IPR000223|A0A010SVI0	IPR000223|A0A010SVI0
IPR000223|A0A010YR65	IPR000223|A0A010YR65
IPR000223|A0A010Z4V4	IPR000223|A0A010Z4V4
IPR000223|A0A011A009	IPR000223|A0A011A009
IPR000223|A0A011A0X7	IPR000223|A0A011A0X7
IPR000223|A0A011ALI2	IPR000223|A0A011ALI2
IPR000223|A0A011ALI2	IPR000223|A0A010ZZA2
IPR000223|A0A011MCM9	IPR000223|A0A011MCM9
IPR000223|A0A011MCM9	IPR000223|A0A011MY00
IPR000223|A0A011MCM9	IPR000223|A0A011QAM8
IPR000223|A0A011MCM9	IPR000223|A0A011QTC2
IPR000223|A0A011MMW5	IPR000223|A0A011MMW5
IPR000223|A0A011NAW4	IPR000223|A0A011NAW4
IPR000223|A0A011QQV4	IPR000223|A0A011QQV4
IPR000223|A0A011RLP4	IPR000223|A0A011RLP4
IPR000223|A0A011U3F1	IPR000223|A0A011U3F1
IPR000227|A0A060WGU6	IPR000227|A0A060WGU6
IPR000227|A0A061IBB8	IPR000227|A0A061IBB8
IPR000227|A0A087V8Z3	IPR000227|A0A087V8Z3
IPR000227|A0A087YJ27	IPR000227|A0A087YJ27
IPR000227|A0A087YJ27	IPR000227|A0A077KEU4
IPR000227|A0A091DT37	IPR000227|A0A091DT37
IPR000227|A0A091IIZ5	IPR000227|A0A091IIZ5
IPR000227|A0A091IIZ5	IPR000227|A0A091U0K3
IPR000227|A0A091IIZ5	IPR000227|A0A087R6V4
IPR000227|A0A091IIZ5	IPR000227|A0A091JY70
IPR000227|A0A091IIZ5	IPR000227|A0A091R7P8
IPR000227|A0A091IIZ5	IPR000227|A0A093C3X6
IPR000227|A0A091IIZ5	IPR000227|A0A091E765
IPR000227|A0A091IIZ5	IPR000227|A0A091H7Q4
IPR000227|A0A091IIZ5	IPR000227|A0A091LA89
IPR000227|A0A091IIZ5	IPR000227|A0A091MBA9
IPR000227|A0A091IIZ5	IPR000227|A0A091MG62
IPR000227|A0A091IIZ5	IPR000227|A0A091MSJ2
IPR000227|A0A091IIZ5	IPR000227|A0A091JIK1
IPR000227|A0A091IIZ5	IPR000227|A0A091NLV1
IPR000227|A0A091IIZ5	IPR000227|A0A091QPI9
IPR000227|A0A091IIZ5	IPR000227|A0A091SGM2
IPR000227|A0A091IIZ5	IPR000227|A0A093BLD3
IPR000227|A0A091IIZ5	IPR000227|A0A091PD81
IPR000227|A0A091IIZ5	IPR000227|A0A091S0K0
IPR000227|A0A091IIZ5	IPR000227|A0A091TFU8
IPR000227|A0A091IIZ5	IPR000227|A0A091GHB0
IPR000227|A0A091IIZ5	IPR000227|A0A091VPL9
IPR000227|A0A091IIZ5	IPR000227|A0A093CQM6
IPR000227|A0A091IIZ5	IPR000227|A0A091WD94
IPR000003|A0A023EU70	IPR000003|A0A023EU70
IPR000003|A0A023EUR4	IPR000003|A0A023EUR4
IPR000003|A0A023F8X7	IPR000003|A0A023F8X7
IPR000003|A0A023F8X7	IPR000003|A0A026WQM3
IPR000003|A0A023F8X7	IPR000003|A0A067R1R6
IPR000003|A0A023F8X7	IPR000003|A0A060VYL9
IPR000003|A0A023F8X7	IPR000003|A0A060WZU0
IPR000003|A0A023F8X7	IPR000003|A0A061IH78
IPR000003|A0A023F8X7	IPR000003|A0A061II81
IPR000003|A0A023F9Y2	IPR000003|A0A023F9Y2
IPR000003|A0A023F9Y2	IPR000003|A0A026WYG3
IPR000003|A0A023F9Y2	IPR000003|A0A067R1M5
IPR000003|A0A034V6Y7	IPR000003|A0A034V6Y7
IPR000003|A0A034V6Y7	IPR000003|A0A034V9N9
IPR000003|A0A034VVC4	IPR000003|A0A034VVC4
IPR000003|A0A060WRU6	IPR000003|A0A060WRU6
IPR000003|A0A060XKW5	IPR000003|A0A060XKW5
IPR000003|A0A060YBA0	IPR000003|A0A060YBA0
IPR000003|A0A060YBA0	IPR000003|A0A060WUU0
IPR000003|A0A060YBA0	IPR000003|A0A068BGT5
IPR000003|A0A060YBA0	IPR000003|A0A068BD65
IPR000003|A0A060YBA0	IPR000003|A0A068BES4
IPR000003|A0A060YBA0	IPR000003|A0A068BFV6
IPR000003|A0A060YBA0	IPR000003|A0A068BGV8
IPR000003|A0A060YBA0	IPR000003|A0A068BIV0
IPR000003|A0A060YJT8	IPR000003|A0A060YJT8
IPR000003|A0A060Z442	IPR000003|A0A060Z442
IPR000003|A0A061ICX8	IPR000003|A0A061ICX8
IPR000003|A0A068Q5Y8	IPR000003|A0A068Q5Y8
IPR000003|A0A068Q5Y8	IPR000003|A0A068Q746
IPR000006|A0A024R6T4	IPR000006|A0A024R6T4
IPR000006|A0A024R6T4	IPR000006|A0A087QX94
IPR000006|A0A024R6T4	IPR000006|A0A091F1K0
IPR000006|A0A024R6T4	IPR000006|A0A091FUU9
IPR000006|A0A024R6T4	IPR000006|A0A091HUM4
IPR000006|A0A024R6T4	IPR000006|A0A091JGC4
IPR000006|A0A024R6T4	IPR000006|A0A091MSG7
IPR000006|A0A024R6T4	IPR000006|A0A091Q787
IPR000006|A0A024R6T4	IPR000006|A0A091R5S0
IPR000006|A0A024R6T4	IPR000006|A0A091SE43
IPR000006|A0A024R6T4	IPR000006|A0A091SYG8
IPR000006|A0A024R6T4	IPR000006|A0A091VFV1
IPR000006|A0A024R6T4	IPR000006|A0A091WK99
IPR000006|A0A024R6T4	IPR000006|A0A093G854
IPR000006|A0A024R6T4	IPR000006|A0A093RYN7
IPR000006|A0A024R6T4	IPR000006|A0A093T3I5
IPR000006|A0A024R6T4	IPR000006|A0A091DFU5
IPR000006|A0A060Y9P1	IPR000006|A0A060Y9P1
IPR000006|A0A060Y9P1	IPR000006|A0A060Y0M2
IPR000006|A0A091D7A6	IPR000006|A0A091D7A6
IPR000006|A0A091D7A6	IPR000006|A0A024R6R7
IPR000006|A0A091D7A6	IPR000006|A0A096NII5
IPR000006|A0A091HXW1	IPR000006|A0A091HXW1
IPR000006|A0A091HXW1	IPR000006|A0A091FWD8
IPR000006|A0A091HXW1	IPR000006|A0A091NGX0
IPR000006|A0A091HXW1	IPR000006|A0A093PG10
IPR000006|A0A091HXW1	IPR000006|A0A091SFR1
IPR000006|A0A096NII3	IPR000006|A0A096NII3
IPR000006|A0A096NIJ1	IPR000006|A0A096NIJ1
IPR000006|A0A096NIJ6	IPR000006|A0A096NIJ6
IPR000009|A0A016TK96	IPR000009|A0A016TK96
IPR000009|A0A016TK96	IPR000009|A0A016TKD2
IPR000009|A0A016VC74	IPR000009|A0A016VC74
IPR000009|A0A016VCV1	IPR000009|A0A016VCV1
IPR000009|A0A016VCV1	IPR000009|A0A016VEU1
IPR000009|A0A022Q6K1	IPR000009|A0A022Q6K1
IPR000009|A0A022RZ92	IPR000009|A0A022RZ92
IPR000009|A0A022RZ92	IPR000009|A0A022Q4G0
IPR000009|A0A022W7A6	IPR000009|A0A022W7A6
IPR000009|A0A022W7A6	IPR000009|A0A017S4P1
IPR000009|A0A022W7A6	IPR000009|A0A022W6X9
IPR000009|A0A022W7A6	IPR000009|A0A022XY30
IPR000009|A0A022W7A6	IPR000009|A0A022XYP9
IPR000009|A0A022W7A6	IPR000009|A0A014PS73
IPR000009|A0A022W7A6	IPR000009|A0A010S234
IPR000009|A0A022W7A6	IPR000009|A0A015LFM8
IPR000009|A0A022W7A6	IPR000009|A0A015JVK9
IPR000009|A0A022W7A6	IPR000009|A0A024S990
IPR000009|A0A023FKE8	IPR000009|A0A023FKE8
IPR000009|A0A023GKE5	IPR000009|A0A023GKE5
IPR000009|A0A023GKE5	IPR000009|A0A016TKL3
IPR000009|A0A023GKE5	IPR000009|A0A016TJH6
IPR000009|A0A023GKE5	IPR000009|A0A016TK70
IPR000009|A0A023GKE5	IPR000009|A0A016TK99
IPR000009|A0A023GKE5	IPR000009|A0A016TKD5
IPR000009|A0A023GKE5	IPR000009|A0A023F5T3
IPR000009|A0A023GKE5	IPR000009|A0A026WW44
IPR000009|A0A024GG00	IPR000009|A0A024GG00
IPR000009|A0A024GG00	IPR000009|A0A024GH68
IPR000009|A0A024TQ09	IPR000009|A0A024TQ09
IPR000011|A0A010QK49	IPR000011|A0A010QK49
IPR000011|A0A015LGZ1	IPR000011|A0A015LGZ1
IPR000011|A0A016SVA0	IPR000011|A0A016SVA0
IPR000011|A0A016SVA0	IPR000011|A0A016SU59
IPR000011|A0A016SVA0	IPR000011|A0A016SV21
IPR000011|A0A016X3R1	IPR000011|A0A016X3R1
IPR000011|A0A017RU93	IPR000011|A0A017RU93
IPR000011|A0A017SI57	IPR000011|A0A017SI57
IPR000136|A0A067D278	IPR000136|A0A067D278
IPR000136|A0A067D278	IPR000136|A0A061FVM3
IPR000136|A0A067D278	IPR000136|A0A067JBH4
IPR000136|A0A067D278	IPR000136|A0A059A4M1
IPR000136|A0A067DCF8	IPR000136|A0A067DCF8
IPR000136|A0A067DCF8	IPR000136|A0A022PZ55
IPR000136|A0A067DCF8	IPR000136|A0A058ZXP8
IPR000136|A0A067DCF8	IPR000136|A0A061G0Q7
IPR000136|A0A067DCF8	IPR000136|A0A068UA71
IPR000136|A0A067EW86	IPR000136|A0A067EW86
IPR000136|A0A067G610	IPR000136|A0A067G610
IPR000136|A0A067KFL0	IPR000136|A0A067KFL0
IPR000136|A0A067KGL5	IPR000136|A0A067KGL5
IPR000136|A0A067KGL5	IPR000136|A0A067GJN5
IPR000136|A0A068U383	IPR000136|A0A068U383
IPR000141|A0A087YJP9	IPR000141|A0A087YJP9
IPR000141|A0A091HTZ2	IPR000141|A0A091HTZ2
IPR000141|A0A091MZR2	IPR000141|A0A091MZR2
IPR000141|A0A091MZR2	IPR000141|A0A093BVN0
IPR000141|A0A091MZR2	IPR000141|A0A093GWA2
IPR000141|A0A093NQ05	IPR000141|A0A093NQ05
IPR000141|A0A093NQ05	IPR000141|A0A091F7T2
IPR000141|A0A093NQ05	IPR000141|A0A091HIN2
IPR000141|A0A093NQ05	IPR000141|A0A091JYA7
IPR000141|A0A093NQ05	IPR000141|A0A091MSF5
IPR000141|A0A093NQ05	IPR000141|A0A091QWP9
IPR000141|A0A093NQ05	IPR000141|A0A091S1I3
IPR000141|A0A093NQ05	IPR000141|A0A091SVS8
IPR000141|A0A093NQ05	IPR000141|A0A091TWF3
IPR000141|A0A093NQ05	IPR000141|A0A091VLW1
IPR000141|A0A093NQ05	IPR000141|A0A093CAI5
IPR000141|A0A093NQ05	IPR000141|A0A093GVM7
IPR000141|A0A093NQ05	IPR000141|A0A093HBU1
IPR000141|A0A093NQ05	IPR000141|A0A093ITB6
IPR000141|A0A093NQ05	IPR000141|A0A093IWD5
IPR000141|A0A093NQ05	IPR000141|A0A093J9C5
IPR000141|A0A093NQ05	IPR000141|A0A094KZS9
IPR000141|A0A093NQ05	IPR000141|A0A099YU79
IPR000141|A0A093NQ05	IPR000141|A0A0A0AEZ9
IPR000141|A0A093NQ05	IPR000141|A0A091CYF5
IPR000141|A0A093NQ05	IPR000141|A0A098KXA6
IPR000141|A0A093NQ05	IPR000141|A0A093QF07
IPR000141|A0A093NQ05	IPR000141|A0A087RHF1
IPR000141|A0A093NQ05	IPR000141|A0A087V413
IPR000141|A0A093NQ05	IPR000141|A0A093R3X6
IPR000142|A0A060ZFT0	IPR000142|A0A060ZFT0
IPR000142|A0A087YQT4	IPR000142|A0A087YQT4
IPR000142|A0A087YQT4	IPR000142|A0A0N4SUG9
IPR000142|A0A087YQT4	IPR000142|A0A0P7W9P3
IPR000142|A0A087YQT4	IPR000142|A0A091EBY8
IPR000142|A0A087YQT4	IPR000142|A0A087QIL1
IPR000142|A0A087YQT4	IPR000142|A0A091ERI8
IPR000142|A0A087YQT4	IPR000142|A0A091H4E0
IPR000142|A0A087YQT4	IPR000142|A0A091HDY3
IPR000142|A0A087YQT4	IPR000142|A0A091IE94
IPR000142|A0A087YQT4	IPR000142|A0A091IU91
IPR000142|A0A087YQT4	IPR000142|A0A091KMI8
IPR000142|A0A087YQT4	IPR000142|A0A091MJQ2
IPR000142|A0A087YQT4	IPR000142|A0A091PSQ2
IPR000142|A0A087YQT4	IPR000142|A0A091R3U8
IPR000142|A0A087YQT4	IPR000142|A0A091RP90
IPR000142|A0A087YQT4	IPR000142|A0A091SEJ1
IPR000142|A0A087YQT4	IPR000142|A0A091TJ05
IPR000142|A0A087YQT4	IPR000142|A0A091V117
IPR000142|A0A087YQT4	IPR000142|A0A091WPM9
IPR000142|A0A087YQT4	IPR000142|A0A093CCB4
IPR000142|A0A087YQT4	IPR000142|A0A093GP36
IPR000142|A0A087YQT4	IPR000142|A0A093HJY8
IPR000142|A0A087YQT4	IPR000142|A0A093IQL6
IPR000142|A0A087YQT4	IPR000142|A0A093NDN8
IPR000142|A0A087YQT4	IPR000142|A0A093QJK9
IPR000142|A0A087YQT4	IPR000142|A0A093RST9
IPR000142|A0A087YQT4	IPR000142|A0A096MLQ1
IPR000142|A0A087YQT4	IPR000142|A0A099Z1I4
IPR000142|A0A087YQT4	IPR000142|A0A0A0AE57
IPR000143|A0A023T5F2	IPR000143|A0A023T5F2
IPR000143|A0A023T5F2	IPR000143|A0A023T7I1
IPR000143|A0A023T5F2	IPR000143|A0A023T7I7
IPR000143|A0A023T5F2	IPR000143|A0A023T7Z2
IPR000143|A0A023T5F2	IPR000143|A0A023T7Z7
IPR000143|A0A088D7G2	IPR000143|A0A088D7G2
IPR000143|A0A088D7G2	IPR000143|A0A088D823
IPR000143|A0A088D7G2	IPR000143|A0A088D8H8
IPR000143|A0A088D7G2	IPR000143|A0A088D8K5
IPR000143|A0A088D7G2	IPR000143|A0A088D8R3
IPR000143|A0A088D7G2	IPR000143|A0A088D8R8
IPR000143|A0A088D7G2	IPR000143|A0A088D8U4
IPR000143|A0A088D7G2	IPR000143|A0A088D8U8
IPR000143|A0A088D7G2	IPR000143|A0A088D8W8
IPR000143|A0A088D7G2	IPR000143|A0A088D8X2
IPR000143|A0A0A0QUS9	IPR000143|A0A0A0QUS9
IPR000143|A0A0A0QWP4	IPR000143|A0A0A0QWP4
IPR000143|A0A0A0QWP4	IPR000143|A0A0A0QV09
IPR000143|A0A0A0QWP4	IPR000143|A0A0A0QVW5
IPR000143|A0A0A0U7J8	IPR000143|A0A0A0U7J8
IPR000143|A0A0A0U7J8	IPR000143|A0A0A0UCY6
IPR000143|A0A0A0U7J8	IPR000143|A0A0A1ELW8
IPR000143|A0A0A0U7J8	IPR000143|A0A0A1EM24
IPR000143|A0A0A0U7J8	IPR000143|A0A0A1EMA8
IPR000143|A0A0A0U7J8	IPR000143|A0A0A1EME1
IPR000143|A0A0A0U7J8	IPR000143|A0A0A1EMI3
IPR000143|A0A0A0U7J8	IPR000143|A0A0A1EMY4
IPR000143|A0A0A0U7J8	IPR000143|A0A0A1EN69
IPR000143|A0A0A0U7J8	IPR000143|A0A0A1EN90
IPR000143|A0A0A0U7L8	IPR000143|A0A0A0U7L8
IPR000065|A0A0A7NQP1	IPR000065|A0A0A7NQP1
IPR000065|A0A0A7NQP1	IPR000065|A0A0A7NNH2
IPR000065|A0A0B6VX97	IPR000065|A0A0B6VX97
IPR000065|A0A0B6VX97	IPR000065|A0A023GUT0
IPR000065|A0A0B6VXE5	IPR000065|A0A0B6VXE5
IPR000065|A0A0B6VXE5	IPR000065|A0A0B6VX03
IPR000065|A0A0B6VXE5	IPR000065|A0A0S4FT87
IPR000065|A0A0C5CLA1	IPR000065|A0A0C5CLA1
IPR000065|A0A0C5CLA1	IPR000065|A0A068LLE4
IPR000065|A0A0C5CLA1	IPR000065|A0A059T2R0
IPR000065|A0A0C7AV37	IPR000065|A0A0C7AV37
IPR000065|A0A0C7AV58	IPR000065|A0A0C7AV58
IPR000065|A0A0D9RCR8	IPR000065|A0A0D9RCR8
IPR000065|A0A0D9RCR8	IPR000065|A0A096MW62
IPR000065|A0A0D9RCR8	IPR000065|A0A0K2FQS4
IPR000065|A0A0D9RCR8	IPR000065|A0A0K2FR45
